Country,Year,Sub-commodity,Production (tonnes),Source
Australia,1970,Monazite                                          ,0,BGS
Australia,1970,Xenotime                                          ,0,BGS
Australia,1971,Monazite                                          ,0,BGS
Australia,1971,Xenotime                                          ,0,BGS
Australia,1972,Monazite                                          ,0,BGS
Australia,1972,Xenotime                                          ,0,BGS
Australia,1973,Monazite                                          ,0,BGS
Australia,1973,Xenotime                                          ,0,BGS
Australia,1974,Monazite                                          ,0,BGS
Australia,1974,Xenotime                                          ,0,BGS
Australia,1975,Monazite                                          ,4507,BGS
Australia,1975,Xenotime                                          ,20,BGS
Australia,1976,Monazite                                          ,5310,BGS
Australia,1976,Xenotime                                          ,7,BGS
Australia,1977,Monazite                                          ,9379,BGS
Australia,1977,Xenotime                                          ,12,BGS
Australia,1978,Monazite                                          ,14992,BGS
Australia,1978,Xenotime                                          ,23,BGS
Australia,1979,Monazite                                          ,16340,BGS
Australia,1979,Xenotime                                          ,19,BGS
Australia,1980,Monazite                                          ,14079,BGS
Australia,1980,Xenotime                                          ,27,BGS
Australia,1981,Monazite                                          ,13282,BGS
Australia,1981,Xenotime                                          ,52,BGS
Australia,1982,Monazite                                          ,9562,BGS
Australia,1982,Xenotime                                          ,46,BGS
Australia,1983,Monazite                                          ,15141,BGS
Australia,1983,Xenotime                                          ,24,BGS
Australia,1984,Monazite                                          ,16260,BGS
Australia,1984,Xenotime                                          ,66,BGS
Australia,1985,Monazite                                          ,18735,BGS
Australia,1985,Xenotime                                          ,46,BGS
Australia,1986,Monazite                                          ,14822,BGS
Australia,1986,Xenotime                                          ,41,BGS
Australia,1987,Monazite                                          ,12813,BGS
Australia,1987,Xenotime                                          ,0,BGS
Australia,1988,Monazite                                          ,10897,BGS
Australia,1988,Xenotime                                          ,0,BGS
Australia,1989,Monazite                                          ,13000,BGS
Australia,1989,Xenotime                                          ,0,BGS
Australia,1990,Monazite                                          ,11000,BGS
Australia,1990,Xenotime                                          ,0,BGS
Australia,1991,Monazite                                          ,6600,BGS
Australia,1991,Xenotime                                          ,0,BGS
Australia,1992,Monazite                                          ,5600,BGS
Australia,1992,Xenotime                                          ,0,BGS
Australia,1993,Monazite                                          ,6500,BGS
Australia,1993,Xenotime                                          ,0,BGS
Australia,1994,Monazite                                          ,2300,BGS
Australia,1994,Xenotime                                          ,0,BGS
Australia,1995,Monazite                                          ,200,BGS
Australia,1995,Xenotime                                          ,0,BGS
Australia,1996,Monazite                                          ,0,BGS
Australia,1996,Xenotime                                          ,0,BGS
Australia,1997,Monazite                                          ,0,BGS
Australia,1997,Xenotime                                          ,0,BGS
Australia,1998,Monazite                                          ,0,BGS
Australia,1998,Xenotime                                          ,0,BGS
Australia,1999,Monazite                                          ,0,BGS
Australia,1999,Xenotime                                          ,0,BGS
Australia,2000,Monazite                                          ,0,BGS
Australia,2000,Xenotime                                          ,0,BGS
Australia,2001,Monazite                                          ,0,BGS
Australia,2001,Xenotime                                          ,0,BGS
Australia,2002,Monazite                                          ,0,BGS
Australia,2002,Xenotime                                          ,0,BGS
Australia,2003,Monazite                                          ,0,BGS
Australia,2003,Xenotime                                          ,0,BGS
Australia,2004,Monazite                                          ,0,BGS
Australia,2004,Xenotime                                          ,0,BGS
Australia,2005,Monazite                                          ,0,BGS
Australia,2005,Xenotime                                          ,0,BGS
Australia,2006,Monazite                                          ,0,BGS
Australia,2006,Xenotime                                          ,0,BGS
Australia,2007,Monazite                                          ,0,BGS
Australia,2007,Xenotime                                          ,0,BGS
Australia,2008,Monazite                                          ,0,BGS
Australia,2008,Xenotime                                          ,0,BGS
Australia,2009,Monazite                                          ,0,BGS
Australia,2009,Xenotime                                          ,0,BGS
Australia,2010,Monazite                                          ,0,BGS
Australia,2010,Xenotime                                          ,0,BGS
Australia,2011,Monazite                                          ,0,BGS
Australia,2011,Xenotime                                          ,0,BGS
Australia,2012,Monazite                                          ,0,BGS
Australia,2012,Xenotime                                          ,0,BGS
Australia,2013,Monazite                                          ,0,BGS
Australia,2013,Xenotime                                          ,0,BGS
Australia,2014,Monazite                                          ,0,BGS
Australia,2014,Xenotime                                          ,0,BGS
Australia,2015,Monazite                                          ,0,BGS
Australia,2015,Xenotime                                          ,0,BGS
Australia,2016,Monazite                                          ,0,BGS
Australia,2016,Xenotime                                          ,0,BGS
Australia,2017,Monazite                                          ,0,BGS
Australia,2017,Xenotime                                          ,0,BGS
Australia,2018,Monazite                                          ,0,BGS
Australia,2018,Xenotime                                          ,0,BGS
Australia,2019,Monazite                                          ,0,BGS
Australia,2019,Xenotime                                          ,0,BGS
Australia,2020,Monazite                                          ,0,BGS
Australia,2020,Xenotime                                          ,0,BGS
Australia,2021,Monazite                                          ,0,BGS
Australia,2021,Xenotime                                          ,0,BGS
Australia,2022,Monazite                                          ,0,BGS
Australia,2022,Xenotime                                          ,0,BGS
Brazil,1970,Monazite                                          ,0,BGS
Brazil,1971,Monazite                                          ,0,BGS
Brazil,1972,Monazite                                          ,0,BGS
Brazil,1973,Monazite                                          ,0,BGS
Brazil,1974,Monazite                                          ,0,BGS
Brazil,1975,Monazite                                          ,0,BGS
Brazil,1976,Monazite                                          ,1610,BGS
Brazil,1977,Monazite                                          ,2441,BGS
Brazil,1978,Monazite                                          ,2541,BGS
Brazil,1979,Monazite                                          ,2318,BGS
Brazil,1980,Monazite                                          ,2532,BGS
Brazil,1981,Monazite                                          ,2460,BGS
Brazil,1982,Monazite                                          ,1814,BGS
Brazil,1983,Monazite                                          ,5256,BGS
Brazil,1984,Monazite                                          ,3622,BGS
Brazil,1985,Monazite                                          ,3953,BGS
