Country,Year,Sub_commodity,Export/Import,Quantity in metric tons,Trade Value in 1000 USD
Algeria,1992,titanium ores and concentrates,Export,0,0
Algeria,1993,titanium ores and concentrates,Export,0,0
Algeria,1994,titanium ores and concentrates,Export,0,0
Algeria,1995,titanium ores and concentrates,Export,0,0
Algeria,1996,titanium ores and concentrates,Export,0,0
Algeria,1997,titanium ores and concentrates,Export,0,0
Algeria,1998,titanium ores and concentrates,Export,0,0
Algeria,1999,titanium ores and concentrates,Export,0,0
Algeria,2000,titanium ores and concentrates,Export,0,0
Algeria,2001,titanium ores and concentrates,Export,0,0
Algeria,2002,titanium ores and concentrates,Export,0,0
Algeria,2003,titanium ores and concentrates,Export,0,0
Algeria,2004,titanium ores and concentrates,Export,0,0
Algeria,2005,titanium ores and concentrates,Export,0,0
Algeria,2006,titanium ores and concentrates,Export,0,0
Algeria,2007,titanium ores and concentrates,Export,0,0
Algeria,2008,titanium ores and concentrates,Export,0,0
Algeria,2009,titanium ores and concentrates,Export,0,0
Algeria,2010,titanium ores and concentrates,Export,0,0
Algeria,2011,titanium ores and concentrates,Export,0,0
Algeria,2012,titanium ores and concentrates,Export,0,0
Algeria,2013,titanium ores and concentrates,Export,0,0
Algeria,2014,titanium ores and concentrates,Export,0,0
Algeria,2015,titanium ores and concentrates,Export,0,0
Algeria,2016,titanium ores and concentrates,Export,0,0
Algeria,2017,titanium ores and concentrates,Export,0,0
Algeria,2018,titanium ores and concentrates,Export,0,0
Algeria,2019,titanium ores and concentrates,Export,0,0
Algeria,2020,titanium ores and concentrates,Export,0,0
Algeria,2021,titanium ores and concentrates,Export,0,0
Algeria,2022,titanium ores and concentrates,Export,0,0
Algeria,2023,titanium ores and concentrates,Export,0,0
Algeria,1992,titanium ores and concentrates,Import,0,0
Algeria,1993,titanium ores and concentrates,Import,0,0
Algeria,1994,titanium ores and concentrates,Import,0,0
Algeria,1995,titanium ores and concentrates,Import,0,0
Algeria,1996,titanium ores and concentrates,Import,370,239
Algeria,1997,titanium ores and concentrates,Import,0,0
Algeria,1998,titanium ores and concentrates,Import,0,0
Algeria,1999,titanium ores and concentrates,Import,0,0
Algeria,2000,titanium ores and concentrates,Import,0,0
Algeria,2001,titanium ores and concentrates,Import,0,0
Algeria,2002,titanium ores and concentrates,Import,671,301
Algeria,2003,titanium ores and concentrates,Import,1208,417
Algeria,2004,titanium ores and concentrates,Import,686,254
Algeria,2005,titanium ores and concentrates,Import,460,234
Algeria,2006,titanium ores and concentrates,Import,362,173
Algeria,2007,titanium ores and concentrates,Import,112,30
Algeria,2008,titanium ores and concentrates,Import,138,143
Algeria,2009,titanium ores and concentrates,Import,7,7
