Country,Year,Sub-commodity,Quantity in metric tons,Source
Australia,1970,Ilmenite,886452,BGS
Australia,1970,Leucoxene,10593,BGS
Australia,1970,Rutile,370867,BGS
Australia,1970,titanium ores and concentrates,1267912,BGS
Australia,1971,Ilmenite,813800,BGS
Australia,1971,Leucoxene,14560,BGS
Australia,1971,Rutile,374705,BGS
Australia,1971,titanium ores and concentrates,1203065,BGS
Australia,1972,Ilmenite,707413,BGS
Australia,1972,Leucoxene,10730,BGS
Australia,1972,Rutile,313139,BGS
Australia,1972,titanium ores and concentrates,1031282,BGS
Australia,1973,Ilmenite,719601,BGS
Australia,1973,Leucoxene,11097,BGS
Australia,1973,Rutile,335231,BGS
Australia,1973,titanium ores and concentrates,1065929,BGS
Australia,1974,Ilmenite,816746,BGS
Australia,1974,Leucoxene,14782,BGS
Australia,1974,Rutile,318702,BGS
Australia,1974,titanium ores and concentrates,1150230,BGS
Australia,1975,Ilmenite,991433,BGS
Australia,1975,Leucoxene,16871,BGS
Australia,1975,Rutile,348350,BGS
Australia,1975,titanium ores and concentrates,1356654,BGS
Australia,1976,Ilmenite,959203,BGS
Australia,1976,Leucoxene,12223,BGS
Australia,1976,Rutile,389750,BGS
Australia,1976,titanium ores and concentrates,1361176,BGS
Australia,1977,Ilmenite,1033358,BGS
Australia,1977,Leucoxene,10621,BGS
Australia,1977,Rutile,325281,BGS
Australia,1977,titanium ores and concentrates,1369260,BGS
Australia,1978,Ilmenite,1254994,BGS
Australia,1978,Leucoxene,16103,BGS
Australia,1978,Rutile,257075,BGS
Australia,1978,titanium ores and concentrates,1528172,BGS
Australia,1979,Ilmenite,1181010,BGS
Australia,1979,Leucoxene,22470,BGS
Australia,1979,Rutile,274533,BGS
Australia,1979,titanium ores and concentrates,1478013,BGS
Australia,1980,Ilmenite,1384563,BGS
Australia,1980,Leucoxene,23943,BGS
Australia,1980,Rutile,311744,BGS
Australia,1980,titanium ores and concentrates,1720250,BGS
Australia,1981,Ilmenite,1321137,BGS
Australia,1981,Leucoxene,19261,BGS
Australia,1981,Rutile,230817,BGS
Australia,1981,titanium ores and concentrates,1571215,BGS
Australia,1982,Ilmenite,1149212,BGS
Australia,1982,Leucoxene,19739,BGS
Australia,1982,Rutile,220697,BGS
Australia,1982,titanium ores and concentrates,1389648,BGS
Australia,1983,Ilmenite,892570,BGS
Australia,1983,Leucoxene,13358,BGS
Australia,1983,Rutile,163374,BGS
Australia,1983,titanium ores and concentrates,1069302,BGS
Australia,1984,Ilmenite,1493171,BGS
Australia,1984,Leucoxene,32110,BGS
Australia,1984,Rutile,170424,BGS
Australia,1984,titanium ores and concentrates,1695705,BGS
Australia,1985,Ilmenite,1418867,BGS
Australia,1985,Leucoxene,13809,BGS
Australia,1985,Rutile,211615,BGS
Australia,1985,titanium ores and concentrates,1644291,BGS
Australia,1986,Ilmenite,1237694,BGS
Australia,1986,Leucoxene,14143,BGS
Australia,1986,Rutile,215774,BGS
Australia,1986,titanium ores and concentrates,1467611,BGS
Australia,1987,Ilmenite,1498087,BGS
Australia,1987,Leucoxene,11290,BGS
Australia,1987,Rutile,246263,BGS
Australia,1987,titanium ores and concentrates,1755640,BGS
Australia,1988,Ilmenite,1610000,BGS
Australia,1988,Leucoxene,12946,BGS
Australia,1988,Rutile,231000,BGS
Australia,1988,titanium ores and concentrates,1853946,BGS
Australia,1989,Ilmenite,1696000,BGS
Australia,1989,Leucoxene,18000,BGS
Australia,1989,Rutile,243000,BGS
Australia,1989,titanium ores and concentrates,1957000,BGS
Australia,1990,Ilmenite,1602000,BGS
Australia,1990,Leucoxene,19000,BGS
Australia,1990,Rutile,245000,BGS
Australia,1990,titanium ores and concentrates,1866000,BGS
Australia,1991,Ilmenite,1476000,BGS
Australia,1991,Leucoxene,20000,BGS
Australia,1991,Rutile,193000,BGS
Australia,1991,titanium ores and concentrates,1689000,BGS
Australia,1992,Ilmenite,1787000,BGS
Australia,1992,Leucoxene,20000,BGS
Australia,1992,Rutile,183000,BGS
Australia,1992,titanium ores and concentrates,1990000,BGS
Australia,1993,Ilmenite,1795000,BGS
Australia,1993,Leucoxene,21000,BGS
Australia,1993,Rutile,187000,BGS
Australia,1993,titanium ores and concentrates,2003000,BGS
Australia,1994,Ilmenite,1777000,BGS
Australia,1994,Leucoxene,33000,BGS
Australia,1994,Rutile,233000,BGS
Australia,1994,titanium ores and concentrates,2043000,BGS
Australia,1995,Ilmenite,1980000,BGS
Australia,1995,Leucoxene,31000,BGS
Australia,1995,Rutile,204000,BGS
Australia,1995,titanium ores and concentrates,2215000,BGS
Australia,1996,Ilmenite,2030000,BGS
Australia,1996,Leucoxene,30000,BGS
Australia,1996,Rutile,183000,BGS
Australia,1996,titanium ores and concentrates,2243000,BGS
Australia,1997,Ilmenite,2233000,BGS
Australia,1997,Leucoxene,32000,BGS
Australia,1997,Rutile,233000,BGS
Australia,1997,titanium ores and concentrates,2498000,BGS
Australia,1998,Ilmenite,2413000,BGS
Australia,1998,Leucoxene,32000,BGS
Australia,1998,Rutile,244000,BGS
Australia,1998,titanium ores and concentrates,2689000,BGS
Australia,1999,Ilmenite,1936000,BGS
Australia,1999,Leucoxene,33000,BGS
Australia,1999,Rutile,182000,BGS
Australia,1999,titanium ores and concentrates,2151000,BGS
Australia,2000,Ilmenite,2146000,BGS
Australia,2000,Leucoxene,37000,BGS
Australia,2000,Rutile,207000,BGS
Australia,2000,titanium ores and concentrates,2390000,BGS
Australia,2001,Ilmenite,2019000,BGS
Australia,2001,Leucoxene,30000,BGS
Australia,2001,Rutile,207000,BGS
Australia,2001,titanium ores and concentrates,2256000,BGS
Australia,2002,Ilmenite,2092000,BGS
Australia,2002,Leucoxene,38000,BGS
Australia,2002,Rutile,219000,BGS
Australia,2002,titanium ores and concentrates,2349000,BGS
Australia,2003,Ilmenite,2006000,BGS
Australia,2003,Leucoxene,57000,BGS
Australia,2003,Rutile,173000,BGS
Australia,2003,titanium ores and concentrates,2236000,BGS
Australia,2004,Ilmenite,1934000,BGS
Australia,2004,Leucoxene,44000,BGS
Australia,2004,Rutile,162000,BGS
Australia,2004,titanium ores and concentrates,2140000,BGS
Australia,2005,Ilmenite,2034000,BGS
Australia,2005,Leucoxene,62000,BGS
Australia,2005,Rutile,177000,BGS
Australia,2005,titanium ores and concentrates,2273000,BGS
