Country,Year,Subcommodity,Production (in tonnes),Source
Australia,1950,ilmenite,56,USGS
Australia,1950,ilmenite and leucoxene,56,USGS
Australia,1950,leucoxene,0,USGS
Australia,1950,rutile,19825,USGS
Australia,1950,titanium ores and concentrates,19881,USGS
Australia,1951,ilmenite,1403,USGS
Australia,1951,ilmenite and leucoxene,1403,USGS
Australia,1951,leucoxene,0,USGS
Australia,1951,rutile,39412,USGS
Australia,1951,titanium ores and concentrates,40815,USGS
Australia,1952,ilmenite,52,USGS
Australia,1952,ilmenite and leucoxene,52,USGS
Australia,1952,leucoxene,0,USGS
Australia,1952,rutile,42576,USGS
Australia,1952,titanium ores and concentrates,42628,USGS
Australia,1953,ilmenite,0,USGS
Australia,1953,ilmenite and leucoxene,0,USGS
Australia,1953,leucoxene,0,USGS
Australia,1953,rutile,42604,USGS
Australia,1953,titanium ores and concentrates,42604,USGS
Australia,1954,ilmenite,526,USGS
Australia,1954,ilmenite and leucoxene,526,USGS
Australia,1954,leucoxene,0,USGS
Australia,1954,rutile,50018,USGS
Australia,1954,titanium ores and concentrates,50544,USGS
Australia,1955,ilmenite,600,USGS
Australia,1955,ilmenite and leucoxene,600,USGS
Australia,1955,leucoxene,0,USGS
Australia,1955,rutile,66767,USGS
Australia,1955,titanium ores and concentrates,67367,USGS
Australia,1956,ilmenite,4787,USGS
Australia,1956,ilmenite and leucoxene,4787,USGS
Australia,1956,leucoxene,0,USGS
Australia,1956,rutile,108434,USGS
Australia,1956,titanium ores and concentrates,113221,USGS
Australia,1957,ilmenite,79694,USGS
Australia,1957,ilmenite and leucoxene,79694,USGS
Australia,1957,leucoxene,0,USGS
Australia,1957,rutile,144372,USGS
Australia,1957,titanium ores and concentrates,224066,USGS
Australia,1958,ilmenite,78342,USGS
Australia,1958,ilmenite and leucoxene,78342,USGS
Australia,1958,leucoxene,0,USGS
Australia,1958,rutile,93327,USGS
Australia,1958,titanium ores and concentrates,171669,USGS
Australia,1959,ilmenite,93606,USGS
Australia,1959,ilmenite and leucoxene,93606,USGS
Australia,1959,leucoxene,0,USGS
Australia,1959,rutile,91734,USGS
Australia,1959,titanium ores and concentrates,185340,USGS
Australia,1960,ilmenite,119377,USGS
Australia,1960,ilmenite and leucoxene,119377,USGS
Australia,1960,leucoxene,0,USGS
Australia,1960,rutile,99274,USGS
Australia,1960,titanium ores and concentrates,218651,USGS
Australia,1961,ilmenite,186369,USGS
Australia,1961,ilmenite and leucoxene,186369,USGS
Australia,1961,leucoxene,0,USGS
Australia,1961,rutile,113603,USGS
Australia,1961,titanium ores and concentrates,299972,USGS
Australia,1962,ilmenite,200332,USGS
Australia,1962,ilmenite and leucoxene,200332,USGS
Australia,1962,leucoxene,0,USGS
Australia,1962,rutile,133499,USGS
Australia,1962,titanium ores and concentrates,333831,USGS
Australia,1963,ilmenite,225715,USGS
Australia,1963,ilmenite and leucoxene,225715,USGS
Australia,1963,leucoxene,0,USGS
Australia,1963,rutile,205251,USGS
Australia,1963,titanium ores and concentrates,430966,USGS
Australia,1964,ilmenite and leucoxene,340799,USGS
Australia,1964,rutile,204256,USGS
Australia,1964,titanium ores and concentrates,545055,USGS
Australia,1965,ilmenite and leucoxene,494385,USGS
Australia,1965,rutile,243410,USGS
Australia,1965,titanium ores and concentrates,737795,USGS
Australia,1966,ilmenite and leucoxene,575420,USGS
Australia,1966,rutile,273122,USGS
Australia,1966,titanium ores and concentrates,848542,USGS
Australia,1967,ilmenite and leucoxene,610303,USGS
Australia,1967,rutile,297376,USGS
Australia,1967,titanium ores and concentrates,907679,USGS
Australia,1968,ilmenite and leucoxene,619481,USGS
Australia,1968,rutile,322131,USGS
Australia,1968,titanium ores and concentrates,941612,USGS
Australia,1969,ilmenite and leucoxene,794239,USGS
Australia,1969,rutile,399100,USGS
Australia,1969,titanium ores and concentrates,1193339,USGS
Australia,1970,ilmenite and leucoxene,988820,USGS
Australia,1970,rutile,405156,USGS
Australia,1970,titanium ores and concentrates,1393976,USGS
Australia,1971,ilmenite and leucoxene,914116,USGS
Australia,1971,rutile,404233,USGS
Australia,1971,titanium ores and concentrates,1318349,USGS
Australia,1972,ilmenite and leucoxene,791616,USGS
Australia,1972,rutile,345176,USGS
Australia,1972,titanium ores and concentrates,1136792,USGS
Australia,1973,ilmenite and leucoxene,793223,USGS
Australia,1973,rutile,369528,USGS
Australia,1973,titanium ores and concentrates,1162751,USGS
Australia,1974,ilmenite,899678,USGS
Australia,1974,ilmenite and leucoxene,916602,USGS
Australia,1974,leucoxene,16924,USGS
Australia,1974,rutile,351308,USGS
Australia,1974,titanium ores and concentrates,1267910,USGS
Australia,1975,ilmenite,1092867,USGS
Australia,1975,ilmenite and leucoxene,1111464,USGS
Australia,1975,leucoxene,18597,USGS
Australia,1975,rutile,383990,USGS
Australia,1975,titanium ores and concentrates,1495454,USGS
Australia,1976,ilmenite,1057339,USGS
Australia,1976,ilmenite and leucoxene,1070934,USGS
Australia,1976,leucoxene,13595,USGS
Australia,1976,rutile,429625,USGS
Australia,1976,titanium ores and concentrates,1500559,USGS
Australia,1977,ilmenite,1138687,USGS
Australia,1977,ilmenite and leucoxene,1150395,USGS
Australia,1977,leucoxene,11708,USGS
Australia,1977,rutile,358561,USGS
Australia,1977,titanium ores and concentrates,1508956,USGS
Australia,1978,ilmenite,1383400,USGS
Australia,1978,ilmenite and leucoxene,1401152,USGS
Australia,1978,leucoxene,17752,USGS
Australia,1978,rutile,283376,USGS
Australia,1978,titanium ores and concentrates,1684528,USGS
Australia,1979,ilmenite,1301889,USGS
