Country,Year,Sub-commodity,Production (tonnes),Source
Australia,1970,Zirconium Minerals,384130,BGS
Australia,1971,Zirconium Minerals,408334,BGS
Australia,1972,Zirconium Minerals,353127,BGS
Australia,1973,Zirconium Minerals,371358,BGS
Australia,1974,Zirconium Minerals,362143,BGS
Australia,1975,Zirconium Minerals,375548,BGS
Australia,1976,Zirconium Minerals,420185,BGS
Australia,1977,Zirconium Minerals,398229,BGS
Australia,1978,Zirconium Minerals,391606,BGS
Australia,1979,Zirconium Minerals,444975,BGS
Australia,1980,Zirconium Minerals,491547,BGS
Australia,1981,Zirconium Minerals,434246,BGS
Australia,1982,Zirconium Minerals,462476,BGS
Australia,1983,Zirconium Minerals,382005,BGS
Australia,1984,Zirconium Minerals,457599,BGS
Australia,1985,Zirconium Minerals,501440,BGS
Australia,1986,Zirconium Minerals,451824,BGS
Australia,1987,Zirconium Minerals,456590,BGS
Australia,1988,Zirconium Minerals,479000,BGS
Australia,1989,Zirconium Minerals,511000,BGS
Australia,1990,Zirconium Minerals,437000,BGS
Australia,1991,Zirconium Minerals,292000,BGS
Australia,1992,Zirconium Minerals,355000,BGS
Australia,1993,Zirconium Minerals,413000,BGS
Australia,1994,Zirconium Minerals,511000,BGS
Australia,1995,Zirconium Minerals,505000,BGS
Australia,1996,Zirconium Minerals,460000,BGS
Australia,1997,Zirconium Minerals,418000,BGS
Australia,1998,Zirconium Minerals,385000,BGS
Australia,1999,Zirconium Minerals,359000,BGS
Australia,2000,Zirconium Minerals,374000,BGS
Australia,2001,Zirconium Minerals,393000,BGS
Australia,2002,Zirconium Minerals,413000,BGS
Australia,2003,Zirconium Minerals,462000,BGS
Australia,2004,Zirconium Minerals,441000,BGS
Australia,2005,Zirconium Minerals,426000,BGS
Australia,2006,Zirconium Minerals,491000,BGS
Australia,2007,Zirconium Minerals,600000,BGS
Australia,2008,Zirconium Minerals,528000,BGS
Australia,2009,Zirconium Minerals,400000,BGS
Australia,2010,Zirconium Minerals,549000,BGS
Australia,2011,Zirconium Minerals,674200,BGS
Australia,2012,Zirconium Minerals,706300,BGS
Australia,2013,Zirconium Minerals,497550,BGS
Australia,2014,Zirconium Minerals,581600,BGS
Australia,2015,Zirconium Minerals,607836,BGS
Australia,2016,Zirconium Minerals,620136,BGS
Australia,2017,Zirconium Minerals,583339,BGS
Australia,2018,Zirconium Minerals,414672,BGS
Australia,2019,Zirconium Minerals,499335,BGS
Australia,2020,Zirconium Minerals,434339,BGS
Australia,2021,Zirconium Minerals,427565,BGS
Australia,2022,Zirconium Minerals,493992,BGS
Brazil,1970,Zirconium Minerals,4024,BGS
Brazil,1971,Zirconium Minerals,4240,BGS
Brazil,1972,Zirconium Minerals,4214,BGS
Brazil,1973,Zirconium Minerals,3094,BGS
Brazil,1974,Zirconium Minerals,2518,BGS
Brazil,1975,Zirconium Minerals,2925,BGS
Brazil,1976,Zirconium Minerals,3058,BGS
Brazil,1977,Zirconium Minerals,4649,BGS
Brazil,1978,Zirconium Minerals,4301,BGS
Brazil,1979,Zirconium Minerals,3337,BGS
Brazil,1980,Zirconium Minerals,3933,BGS
Brazil,1981,Zirconium Minerals,6937,BGS
Brazil,1982,Zirconium Minerals,5365,BGS
Brazil,1983,Zirconium Minerals,13790,BGS
Brazil,1984,Zirconium Minerals,6375,BGS
Brazil,1985,Zirconium Minerals,21039,BGS
Brazil,1986,Zirconium Minerals,15116,BGS
Brazil,1987,Zirconium Minerals,18140,BGS
Brazil,1988,Zirconium Minerals,28029,BGS
Brazil,1989,Zirconium Minerals,32970,BGS
Brazil,1990,Zirconium Minerals,16905,BGS
Brazil,1991,Zirconium Minerals,18590,BGS
Brazil,1992,Zirconium Minerals,16874,BGS
